INFO:root:Pool size x torch.Size([59750, 1, 28, 28])
INFO:root:Test size x torch.Size([59750])
INFO:root:Initial size x torch.Size([250, 1, 28, 28])
INFO:root:Metric name: bald, model training run: 0, initial accuracy: 0.824
INFO:root:Metric name: bald, model training run: 0, query number: 0, accuracy: 0.7473
INFO:root:Metric name: bald, model training run: 0, query number: 1, accuracy: 0.7467
INFO:root:Metric name: bald, model training run: 0, query number: 2, accuracy: 0.8073
INFO:root:Metric name: bald, model training run: 0, query number: 3, accuracy: 0.8117
INFO:root:Metric name: bald, model training run: 0, query number: 4, accuracy: 0.8233
INFO:root:Metric name: bald, model training run: 0, query number: 5, accuracy: 0.8483
INFO:root:Metric name: bald, model training run: 0, query number: 6, accuracy: 0.8277
INFO:root:Metric name: bald, model training run: 0, query number: 7, accuracy: 0.8437
INFO:root:Metric name: bald, model training run: 0, query number: 8, accuracy: 0.854
INFO:root:Metric name: bald, model training run: 0, query number: 9, accuracy: 0.854
INFO:root:Metric name: bald, model training run: 0, query number: 10, accuracy: 0.8456
INFO:root:Metric name: bald, model training run: 0, query number: 11, accuracy: 0.8726
INFO:root:Metric name: bald, model training run: 0, query number: 12, accuracy: 0.8601
INFO:root:Metric name: bald, model training run: 0, query number: 13, accuracy: 0.8476
INFO:root:Metric name: bald, model training run: 0, query number: 14, accuracy: 0.8444
INFO:root:Metric name: bald, model training run: 0, query number: 15, accuracy: 0.8558
INFO:root:Metric name: bald, model training run: 0, query number: 16, accuracy: 0.8508
INFO:root:Metric name: bald, model training run: 0, query number: 17, accuracy: 0.8646
INFO:root:Metric name: bald, model training run: 0, query number: 18, accuracy: 0.8837
INFO:root:Metric name: bald, model training run: 0, query number: 19, accuracy: 0.8892
INFO:root:Metric name: bald, model training run: 0, query number: 20, accuracy: 0.8792
INFO:root:Metric name: bald, model training run: 0, query number: 21, accuracy: 0.8558
INFO:root:Metric name: bald, model training run: 0, query number: 22, accuracy: 0.8774
INFO:root:Metric name: bald, model training run: 0, query number: 23, accuracy: 0.8841
INFO:root:Metric name: bald, model training run: 0, query number: 24, accuracy: 0.8682
INFO:root:Metric name: bald, model training run: 0, query number: 25, accuracy: 0.8854
INFO:root:Metric name: bald, model training run: 0, query number: 26, accuracy: 0.829
INFO:root:Metric name: bald, model training run: 0, query number: 27, accuracy: 0.8831
