INFO:root:Pool size x torch.Size([59750, 1, 28, 28])
INFO:root:Test size x torch.Size([59750])
INFO:root:Initial size x torch.Size([250, 1, 28, 28])
INFO:root:Metric name: max_variation, model training run: 0, initial accuracy: 0.824
INFO:root:Metric name: max_variation, model training run: 0, query number: 0, accuracy: 0.7891
INFO:root:Metric name: max_variation, model training run: 0, query number: 1, accuracy: 0.7986
INFO:root:Metric name: max_variation, model training run: 0, query number: 2, accuracy: 0.8067
INFO:root:Metric name: max_variation, model training run: 0, query number: 3, accuracy: 0.8471
INFO:root:Metric name: max_variation, model training run: 0, query number: 4, accuracy: 0.8303
INFO:root:Metric name: max_variation, model training run: 0, query number: 5, accuracy: 0.8528
INFO:root:Metric name: max_variation, model training run: 0, query number: 6, accuracy: 0.835
INFO:root:Metric name: max_variation, model training run: 0, query number: 7, accuracy: 0.8587
INFO:root:Metric name: max_variation, model training run: 0, query number: 8, accuracy: 0.8657
INFO:root:Metric name: max_variation, model training run: 0, query number: 9, accuracy: 0.8548
INFO:root:Metric name: max_variation, model training run: 0, query number: 10, accuracy: 0.8563
INFO:root:Metric name: max_variation, model training run: 0, query number: 11, accuracy: 0.874
INFO:root:Metric name: max_variation, model training run: 0, query number: 12, accuracy: 0.8596
INFO:root:Metric name: max_variation, model training run: 0, query number: 13, accuracy: 0.8349
INFO:root:Metric name: max_variation, model training run: 0, query number: 14, accuracy: 0.843
INFO:root:Metric name: max_variation, model training run: 0, query number: 15, accuracy: 0.8359
INFO:root:Metric name: max_variation, model training run: 0, query number: 16, accuracy: 0.8571
INFO:root:Metric name: max_variation, model training run: 0, query number: 17, accuracy: 0.8572
INFO:root:Metric name: max_variation, model training run: 0, query number: 18, accuracy: 0.8819
INFO:root:Metric name: max_variation, model training run: 0, query number: 19, accuracy: 0.8851
INFO:root:Metric name: max_variation, model training run: 0, query number: 20, accuracy: 0.8792
INFO:root:Metric name: max_variation, model training run: 0, query number: 21, accuracy: 0.8794
INFO:root:Metric name: max_variation, model training run: 0, query number: 22, accuracy: 0.8787
INFO:root:Metric name: max_variation, model training run: 0, query number: 23, accuracy: 0.8869
INFO:root:Metric name: max_variation, model training run: 0, query number: 24, accuracy: 0.8881
INFO:root:Metric name: max_variation, model training run: 0, query number: 25, accuracy: 0.8935
