INFO:root:Pool size x torch.Size([59750, 1, 28, 28])
INFO:root:Test size x torch.Size([59750])
INFO:root:Initial size x torch.Size([250, 1, 28, 28])
INFO:root:Metric name: random, model training run: 0, initial accuracy: 0.824
INFO:root:Metric name: random, model training run: 0, query number: 0, accuracy: 0.8094
INFO:root:Metric name: random, model training run: 0, query number: 1, accuracy: 0.7843
INFO:root:Metric name: random, model training run: 0, query number: 2, accuracy: 0.816
INFO:root:Metric name: random, model training run: 0, query number: 3, accuracy: 0.8331
INFO:root:Metric name: random, model training run: 0, query number: 4, accuracy: 0.8416
INFO:root:Metric name: random, model training run: 0, query number: 5, accuracy: 0.8595
INFO:root:Metric name: random, model training run: 0, query number: 6, accuracy: 0.8447
INFO:root:Metric name: random, model training run: 0, query number: 7, accuracy: 0.8639
INFO:root:Metric name: random, model training run: 0, query number: 8, accuracy: 0.8589
INFO:root:Metric name: random, model training run: 0, query number: 9, accuracy: 0.8589
INFO:root:Metric name: random, model training run: 0, query number: 10, accuracy: 0.8382
INFO:root:Metric name: random, model training run: 0, query number: 11, accuracy: 0.8683
INFO:root:Metric name: random, model training run: 0, query number: 12, accuracy: 0.8512
INFO:root:Metric name: random, model training run: 0, query number: 13, accuracy: 0.8444
INFO:root:Metric name: random, model training run: 0, query number: 14, accuracy: 0.8672
INFO:root:Metric name: random, model training run: 0, query number: 15, accuracy: 0.8683
INFO:root:Metric name: random, model training run: 0, query number: 16, accuracy: 0.8771
INFO:root:Metric name: random, model training run: 0, query number: 17, accuracy: 0.8649
INFO:root:Metric name: random, model training run: 0, query number: 18, accuracy: 0.879
INFO:root:Metric name: random, model training run: 0, query number: 19, accuracy: 0.8831
INFO:root:Metric name: random, model training run: 0, query number: 20, accuracy: 0.8902
INFO:root:Metric name: random, model training run: 0, query number: 21, accuracy: 0.8789
INFO:root:Metric name: random, model training run: 0, query number: 22, accuracy: 0.873
INFO:root:Metric name: random, model training run: 0, query number: 23, accuracy: 0.8757
INFO:root:Metric name: random, model training run: 0, query number: 24, accuracy: 0.8761
INFO:root:Metric name: random, model training run: 0, query number: 25, accuracy: 0.8828
INFO:root:Metric name: random, model training run: 0, query number: 26, accuracy: 0.8663
INFO:root:Metric name: random, model training run: 0, query number: 27, accuracy: 0.8851
INFO:root:Metric name: random, model training run: 0, query number: 28, accuracy: 0.89
