INFO:root:Pool size x torch.Size([60000, 1, 28, 28])
INFO:root:Test size x torch.Size([60000])
INFO:root:Initial size x: 0
INFO:root:Metric name: bald, model training run: 0, initial accuracy: 0.1433
INFO:root:Metric name: bald, model training run: 0, query number: 0, accuracy: 0.2549
INFO:root:Metric name: bald, model training run: 0, query number: 1, accuracy: 0.2139
INFO:root:Metric name: bald, model training run: 0, query number: 2, accuracy: 0.2664
INFO:root:Metric name: bald, model training run: 0, query number: 3, accuracy: 0.2422
INFO:root:Metric name: bald, model training run: 0, query number: 4, accuracy: 0.2725
INFO:root:Metric name: bald, model training run: 0, query number: 5, accuracy: 0.3219
INFO:root:Metric name: bald, model training run: 0, query number: 6, accuracy: 0.3557
INFO:root:Metric name: bald, model training run: 0, query number: 7, accuracy: 0.3623
INFO:root:Metric name: bald, model training run: 0, query number: 8, accuracy: 0.3702
INFO:root:Metric name: bald, model training run: 0, query number: 9, accuracy: 0.3644
INFO:root:Metric name: bald, model training run: 0, query number: 10, accuracy: 0.3713
INFO:root:Metric name: bald, model training run: 0, query number: 11, accuracy: 0.3653
INFO:root:Metric name: bald, model training run: 0, query number: 12, accuracy: 0.2952
INFO:root:Metric name: bald, model training run: 0, query number: 13, accuracy: 0.4163
INFO:root:Metric name: bald, model training run: 0, query number: 14, accuracy: 0.4025
INFO:root:Metric name: bald, model training run: 0, query number: 15, accuracy: 0.4119
INFO:root:Metric name: bald, model training run: 0, query number: 16, accuracy: 0.4152
INFO:root:Metric name: bald, model training run: 0, query number: 17, accuracy: 0.4586
INFO:root:Metric name: bald, model training run: 0, query number: 18, accuracy: 0.468
INFO:root:Metric name: bald, model training run: 0, query number: 19, accuracy: 0.4527
INFO:root:Metric name: bald, model training run: 0, query number: 20, accuracy: 0.4429
INFO:root:Metric name: bald, model training run: 0, query number: 21, accuracy: 0.4837
INFO:root:Metric name: bald, model training run: 0, query number: 22, accuracy: 0.4874
INFO:root:Metric name: bald, model training run: 0, query number: 23, accuracy: 0.4781
INFO:root:Metric name: bald, model training run: 0, query number: 24, accuracy: 0.4677
INFO:root:Metric name: bald, model training run: 0, query number: 25, accuracy: 0.5171
INFO:root:Metric name: bald, model training run: 0, query number: 26, accuracy: 0.4421
INFO:root:Metric name: bald, model training run: 0, query number: 27, accuracy: 0.446
INFO:root:Metric name: bald, model training run: 0, query number: 28, accuracy: 0.4562
INFO:root:Metric name: bald, model training run: 0, query number: 29, accuracy: 0.4801
INFO:root:Metric name: bald, model training run: 0, query number: 30, accuracy: 0.4847
INFO:root:Metric name: bald, model training run: 0, query number: 31, accuracy: 0.4879
INFO:root:Metric name: bald, model training run: 0, query number: 32, accuracy: 0.5037
INFO:root:Metric name: bald, model training run: 0, query number: 33, accuracy: 0.5103
INFO:root:Metric name: bald, model training run: 0, query number: 34, accuracy: 0.5275
INFO:root:Metric name: bald, model training run: 0, query number: 35, accuracy: 0.4995
INFO:root:Metric name: bald, model training run: 0, query number: 36, accuracy: 0.5234
INFO:root:Metric name: bald, model training run: 0, query number: 37, accuracy: 0.5242
INFO:root:Metric name: bald, model training run: 0, query number: 38, accuracy: 0.5249
INFO:root:Metric name: bald, model training run: 0, query number: 39, accuracy: 0.5602
INFO:root:Metric name: bald, model training run: 0, query number: 40, accuracy: 0.5798
INFO:root:Metric name: bald, model training run: 0, query number: 41, accuracy: 0.5589
INFO:root:Metric name: bald, model training run: 0, query number: 42, accuracy: 0.5559
INFO:root:Metric name: bald, model training run: 0, query number: 43, accuracy: 0.5456
INFO:root:Metric name: bald, model training run: 0, query number: 44, accuracy: 0.5848
INFO:root:Metric name: bald, model training run: 0, query number: 45, accuracy: 0.5787
INFO:root:Metric name: bald, model training run: 0, query number: 46, accuracy: 0.5381
INFO:root:Metric name: bald, model training run: 0, query number: 47, accuracy: 0.5693
INFO:root:Metric name: bald, model training run: 0, query number: 48, accuracy: 0.5911
INFO:root:Metric name: bald, model training run: 0, query number: 49, accuracy: 0.5952
INFO:root:Metric name: bald, model training run: 0, query number: 50, accuracy: 0.6158
INFO:root:Metric name: bald, model training run: 0, query number: 51, accuracy: 0.6567
INFO:root:Metric name: bald, model training run: 0, query number: 52, accuracy: 0.6409
INFO:root:Metric name: bald, model training run: 0, query number: 53, accuracy: 0.6555
INFO:root:Metric name: bald, model training run: 0, query number: 54, accuracy: 0.665
INFO:root:Metric name: bald, model training run: 0, query number: 55, accuracy: 0.68
INFO:root:Metric name: bald, model training run: 0, query number: 56, accuracy: 0.6897
INFO:root:Metric name: bald, model training run: 0, query number: 57, accuracy: 0.6496
INFO:root:Metric name: bald, model training run: 0, query number: 58, accuracy: 0.6528
INFO:root:Metric name: bald, model training run: 0, query number: 59, accuracy: 0.6456
INFO:root:Metric name: bald, model training run: 0, query number: 60, accuracy: 0.6642
INFO:root:Metric name: bald, model training run: 0, query number: 61, accuracy: 0.6767
INFO:root:Metric name: bald, model training run: 0, query number: 62, accuracy: 0.6371
INFO:root:Metric name: bald, model training run: 0, query number: 63, accuracy: 0.6633
INFO:root:Metric name: bald, model training run: 0, query number: 64, accuracy: 0.6577
INFO:root:Metric name: bald, model training run: 0, query number: 65, accuracy: 0.677
INFO:root:Metric name: bald, model training run: 0, query number: 66, accuracy: 0.7012
INFO:root:Metric name: bald, model training run: 0, query number: 67, accuracy: 0.6798
INFO:root:Metric name: bald, model training run: 0, query number: 68, accuracy: 0.7136
INFO:root:Metric name: bald, model training run: 0, query number: 69, accuracy: 0.6669
INFO:root:Metric name: bald, model training run: 0, query number: 70, accuracy: 0.6491
INFO:root:Metric name: bald, model training run: 0, query number: 71, accuracy: 0.6858
INFO:root:Metric name: bald, model training run: 0, query number: 72, accuracy: 0.6977
INFO:root:Metric name: bald, model training run: 0, query number: 73, accuracy: 0.7227
INFO:root:Metric name: bald, model training run: 0, query number: 74, accuracy: 0.7216
INFO:root:Metric name: bald, model training run: 0, query number: 75, accuracy: 0.7055
INFO:root:Metric name: bald, model training run: 0, query number: 76, accuracy: 0.6663
INFO:root:Metric name: bald, model training run: 0, query number: 77, accuracy: 0.7056
INFO:root:Metric name: bald, model training run: 0, query number: 78, accuracy: 0.7043
INFO:root:Metric name: bald, model training run: 0, query number: 79, accuracy: 0.7338
INFO:root:Metric name: bald, model training run: 0, query number: 80, accuracy: 0.745
INFO:root:Metric name: bald, model training run: 0, query number: 81, accuracy: 0.7161
INFO:root:Metric name: bald, model training run: 0, query number: 82, accuracy: 0.7595
INFO:root:Metric name: bald, model training run: 0, query number: 83, accuracy: 0.7526
INFO:root:Metric name: bald, model training run: 0, query number: 84, accuracy: 0.7157
INFO:root:Metric name: bald, model training run: 0, query number: 85, accuracy: 0.7211
INFO:root:Metric name: bald, model training run: 0, query number: 86, accuracy: 0.7436
INFO:root:Metric name: bald, model training run: 0, query number: 87, accuracy: 0.7067
INFO:root:Metric name: bald, model training run: 0, query number: 88, accuracy: 0.7503
INFO:root:Metric name: bald, model training run: 0, query number: 89, accuracy: 0.7389
INFO:root:Metric name: bald, model training run: 0, query number: 90, accuracy: 0.7402
INFO:root:Metric name: bald, model training run: 0, query number: 91, accuracy: 0.7574
INFO:root:Metric name: bald, model training run: 0, query number: 92, accuracy: 0.7704
INFO:root:Metric name: bald, model training run: 0, query number: 93, accuracy: 0.7708
INFO:root:Metric name: bald, model training run: 0, query number: 94, accuracy: 0.7776
INFO:root:Metric name: bald, model training run: 0, query number: 95, accuracy: 0.7851
INFO:root:Metric name: bald, model training run: 0, query number: 96, accuracy: 0.7801
INFO:root:Metric name: bald, model training run: 0, query number: 97, accuracy: 0.793
INFO:root:Metric name: bald, model training run: 0, query number: 98, accuracy: 0.7851
INFO:root:Metric name: bald, model training run: 0, query number: 99, accuracy: 0.7872
INFO:root:Pool size x torch.Size([60000, 1, 28, 28])
INFO:root:Test size x torch.Size([60000])
INFO:root:Initial size x: 0
INFO:root:Metric name: bald, model training run: 1, initial accuracy: 0.101
INFO:root:Metric name: bald, model training run: 1, query number: 0, accuracy: 0.2574
INFO:root:Metric name: bald, model training run: 1, query number: 1, accuracy: 0.2385
INFO:root:Metric name: bald, model training run: 1, query number: 2, accuracy: 0.2952
INFO:root:Metric name: bald, model training run: 1, query number: 3, accuracy: 0.2929
INFO:root:Metric name: bald, model training run: 1, query number: 4, accuracy: 0.2973
INFO:root:Metric name: bald, model training run: 1, query number: 5, accuracy: 0.3136
INFO:root:Metric name: bald, model training run: 1, query number: 6, accuracy: 0.3231
INFO:root:Metric name: bald, model training run: 1, query number: 7, accuracy: 0.2954
INFO:root:Metric name: bald, model training run: 1, query number: 8, accuracy: 0.3406
INFO:root:Metric name: bald, model training run: 1, query number: 9, accuracy: 0.3561
INFO:root:Metric name: bald, model training run: 1, query number: 10, accuracy: 0.3381
INFO:root:Metric name: bald, model training run: 1, query number: 11, accuracy: 0.3222
INFO:root:Metric name: bald, model training run: 1, query number: 12, accuracy: 0.2945
INFO:root:Metric name: bald, model training run: 1, query number: 13, accuracy: 0.3262
INFO:root:Metric name: bald, model training run: 1, query number: 14, accuracy: 0.3564
INFO:root:Metric name: bald, model training run: 1, query number: 15, accuracy: 0.3759
INFO:root:Metric name: bald, model training run: 1, query number: 16, accuracy: 0.3822
INFO:root:Metric name: bald, model training run: 1, query number: 17, accuracy: 0.4366
INFO:root:Metric name: bald, model training run: 1, query number: 18, accuracy: 0.4786
INFO:root:Metric name: bald, model training run: 1, query number: 19, accuracy: 0.4529
INFO:root:Metric name: bald, model training run: 1, query number: 20, accuracy: 0.4754
INFO:root:Metric name: bald, model training run: 1, query number: 21, accuracy: 0.4637
INFO:root:Metric name: bald, model training run: 1, query number: 22, accuracy: 0.4566
INFO:root:Metric name: bald, model training run: 1, query number: 23, accuracy: 0.4559
INFO:root:Metric name: bald, model training run: 1, query number: 24, accuracy: 0.4896
INFO:root:Metric name: bald, model training run: 1, query number: 25, accuracy: 0.397
INFO:root:Metric name: bald, model training run: 1, query number: 26, accuracy: 0.4803
INFO:root:Metric name: bald, model training run: 1, query number: 27, accuracy: 0.4858
INFO:root:Metric name: bald, model training run: 1, query number: 28, accuracy: 0.4982
INFO:root:Metric name: bald, model training run: 1, query number: 29, accuracy: 0.5366
INFO:root:Metric name: bald, model training run: 1, query number: 30, accuracy: 0.5195
INFO:root:Metric name: bald, model training run: 1, query number: 31, accuracy: 0.519
