INFO:root:Pool size x torch.Size([60000, 1, 28, 28])
INFO:root:Test size x torch.Size([60000])
INFO:root:Initial size x: 0
INFO:root:Metric name: max_entropy, model training run: 0, initial accuracy: 0.1433
INFO:root:Metric name: max_entropy, model training run: 0, query number: 0, accuracy: 0.1277
INFO:root:Metric name: max_entropy, model training run: 0, query number: 1, accuracy: 0.2377
INFO:root:Metric name: max_entropy, model training run: 0, query number: 2, accuracy: 0.296
INFO:root:Metric name: max_entropy, model training run: 0, query number: 3, accuracy: 0.3564
INFO:root:Metric name: max_entropy, model training run: 0, query number: 4, accuracy: 0.3343
INFO:root:Metric name: max_entropy, model training run: 0, query number: 5, accuracy: 0.3707
INFO:root:Metric name: max_entropy, model training run: 0, query number: 6, accuracy: 0.371
INFO:root:Metric name: max_entropy, model training run: 0, query number: 7, accuracy: 0.3651
INFO:root:Metric name: max_entropy, model training run: 0, query number: 8, accuracy: 0.3349
INFO:root:Metric name: max_entropy, model training run: 0, query number: 9, accuracy: 0.4359
INFO:root:Metric name: max_entropy, model training run: 0, query number: 10, accuracy: 0.4418
INFO:root:Metric name: max_entropy, model training run: 0, query number: 11, accuracy: 0.4796
INFO:root:Metric name: max_entropy, model training run: 0, query number: 12, accuracy: 0.352
INFO:root:Metric name: max_entropy, model training run: 0, query number: 13, accuracy: 0.2491
INFO:root:Metric name: max_entropy, model training run: 0, query number: 14, accuracy: 0.3824
INFO:root:Metric name: max_entropy, model training run: 0, query number: 15, accuracy: 0.4704
INFO:root:Metric name: max_entropy, model training run: 0, query number: 16, accuracy: 0.4157
INFO:root:Metric name: max_entropy, model training run: 0, query number: 17, accuracy: 0.4414
INFO:root:Metric name: max_entropy, model training run: 0, query number: 18, accuracy: 0.5622
INFO:root:Metric name: max_entropy, model training run: 0, query number: 19, accuracy: 0.5557
INFO:root:Metric name: max_entropy, model training run: 0, query number: 20, accuracy: 0.5504
INFO:root:Metric name: max_entropy, model training run: 0, query number: 21, accuracy: 0.584
INFO:root:Metric name: max_entropy, model training run: 0, query number: 22, accuracy: 0.6132
INFO:root:Metric name: max_entropy, model training run: 0, query number: 23, accuracy: 0.5176
INFO:root:Metric name: max_entropy, model training run: 0, query number: 24, accuracy: 0.5985
INFO:root:Metric name: max_entropy, model training run: 0, query number: 25, accuracy: 0.5752
INFO:root:Metric name: max_entropy, model training run: 0, query number: 26, accuracy: 0.5766
INFO:root:Metric name: max_entropy, model training run: 0, query number: 27, accuracy: 0.6534
INFO:root:Metric name: max_entropy, model training run: 0, query number: 28, accuracy: 0.6515
INFO:root:Metric name: max_entropy, model training run: 0, query number: 29, accuracy: 0.7205
INFO:root:Metric name: max_entropy, model training run: 0, query number: 30, accuracy: 0.6762
INFO:root:Metric name: max_entropy, model training run: 0, query number: 31, accuracy: 0.6999
INFO:root:Metric name: max_entropy, model training run: 0, query number: 32, accuracy: 0.7247
INFO:root:Metric name: max_entropy, model training run: 0, query number: 33, accuracy: 0.6869
INFO:root:Metric name: max_entropy, model training run: 0, query number: 34, accuracy: 0.6732
INFO:root:Metric name: max_entropy, model training run: 0, query number: 35, accuracy: 0.6826
INFO:root:Metric name: max_entropy, model training run: 0, query number: 36, accuracy: 0.726
INFO:root:Metric name: max_entropy, model training run: 0, query number: 37, accuracy: 0.6919
INFO:root:Metric name: max_entropy, model training run: 0, query number: 38, accuracy: 0.5967
INFO:root:Metric name: max_entropy, model training run: 0, query number: 39, accuracy: 0.7006
INFO:root:Metric name: max_entropy, model training run: 0, query number: 40, accuracy: 0.7515
INFO:root:Metric name: max_entropy, model training run: 0, query number: 41, accuracy: 0.7558
INFO:root:Metric name: max_entropy, model training run: 0, query number: 42, accuracy: 0.756
INFO:root:Metric name: max_entropy, model training run: 0, query number: 43, accuracy: 0.7654
INFO:root:Metric name: max_entropy, model training run: 0, query number: 44, accuracy: 0.7611
INFO:root:Metric name: max_entropy, model training run: 0, query number: 45, accuracy: 0.757
INFO:root:Metric name: max_entropy, model training run: 0, query number: 46, accuracy: 0.7884
INFO:root:Metric name: max_entropy, model training run: 0, query number: 47, accuracy: 0.8144
INFO:root:Metric name: max_entropy, model training run: 0, query number: 48, accuracy: 0.761
INFO:root:Metric name: max_entropy, model training run: 0, query number: 49, accuracy: 0.8068
INFO:root:Metric name: max_entropy, model training run: 0, query number: 50, accuracy: 0.8067
INFO:root:Metric name: max_entropy, model training run: 0, query number: 51, accuracy: 0.7892
INFO:root:Metric name: max_entropy, model training run: 0, query number: 52, accuracy: 0.8063
INFO:root:Metric name: max_entropy, model training run: 0, query number: 53, accuracy: 0.7837
INFO:root:Metric name: max_entropy, model training run: 0, query number: 54, accuracy: 0.8219
INFO:root:Metric name: max_entropy, model training run: 0, query number: 55, accuracy: 0.857
INFO:root:Metric name: max_entropy, model training run: 0, query number: 56, accuracy: 0.8209
INFO:root:Metric name: max_entropy, model training run: 0, query number: 57, accuracy: 0.8209
INFO:root:Metric name: max_entropy, model training run: 0, query number: 58, accuracy: 0.8027
INFO:root:Metric name: max_entropy, model training run: 0, query number: 59, accuracy: 0.8047
INFO:root:Metric name: max_entropy, model training run: 0, query number: 60, accuracy: 0.8567
INFO:root:Metric name: max_entropy, model training run: 0, query number: 61, accuracy: 0.8689
INFO:root:Metric name: max_entropy, model training run: 0, query number: 62, accuracy: 0.8218
INFO:root:Metric name: max_entropy, model training run: 0, query number: 63, accuracy: 0.8477
INFO:root:Metric name: max_entropy, model training run: 0, query number: 64, accuracy: 0.8338
INFO:root:Metric name: max_entropy, model training run: 0, query number: 65, accuracy: 0.8665
INFO:root:Metric name: max_entropy, model training run: 0, query number: 66, accuracy: 0.8671
INFO:root:Metric name: max_entropy, model training run: 0, query number: 67, accuracy: 0.8565
INFO:root:Metric name: max_entropy, model training run: 0, query number: 68, accuracy: 0.8926
INFO:root:Metric name: max_entropy, model training run: 0, query number: 69, accuracy: 0.8657
INFO:root:Metric name: max_entropy, model training run: 0, query number: 70, accuracy: 0.8503
INFO:root:Metric name: max_entropy, model training run: 0, query number: 71, accuracy: 0.8747
INFO:root:Metric name: max_entropy, model training run: 0, query number: 72, accuracy: 0.8625
INFO:root:Metric name: max_entropy, model training run: 0, query number: 73, accuracy: 0.8746
INFO:root:Metric name: max_entropy, model training run: 0, query number: 74, accuracy: 0.8609
INFO:root:Metric name: max_entropy, model training run: 0, query number: 75, accuracy: 0.8497
INFO:root:Metric name: max_entropy, model training run: 0, query number: 76, accuracy: 0.851
INFO:root:Metric name: max_entropy, model training run: 0, query number: 77, accuracy: 0.8878
INFO:root:Metric name: max_entropy, model training run: 0, query number: 78, accuracy: 0.8599
INFO:root:Metric name: max_entropy, model training run: 0, query number: 79, accuracy: 0.8963
INFO:root:Metric name: max_entropy, model training run: 0, query number: 80, accuracy: 0.8865
INFO:root:Metric name: max_entropy, model training run: 0, query number: 81, accuracy: 0.8542
INFO:root:Metric name: max_entropy, model training run: 0, query number: 82, accuracy: 0.9051
INFO:root:Metric name: max_entropy, model training run: 0, query number: 83, accuracy: 0.8945
INFO:root:Metric name: max_entropy, model training run: 0, query number: 84, accuracy: 0.8917
INFO:root:Metric name: max_entropy, model training run: 0, query number: 85, accuracy: 0.8855
INFO:root:Metric name: max_entropy, model training run: 0, query number: 86, accuracy: 0.9147
INFO:root:Metric name: max_entropy, model training run: 0, query number: 87, accuracy: 0.9058
INFO:root:Metric name: max_entropy, model training run: 0, query number: 88, accuracy: 0.9198
INFO:root:Metric name: max_entropy, model training run: 0, query number: 89, accuracy: 0.8881
INFO:root:Metric name: max_entropy, model training run: 0, query number: 90, accuracy: 0.8787
INFO:root:Metric name: max_entropy, model training run: 0, query number: 91, accuracy: 0.9002
INFO:root:Metric name: max_entropy, model training run: 0, query number: 92, accuracy: 0.8827
INFO:root:Metric name: max_entropy, model training run: 0, query number: 93, accuracy: 0.8838
INFO:root:Metric name: max_entropy, model training run: 0, query number: 94, accuracy: 0.8866
INFO:root:Metric name: max_entropy, model training run: 0, query number: 95, accuracy: 0.9246
INFO:root:Metric name: max_entropy, model training run: 0, query number: 96, accuracy: 0.8956
INFO:root:Metric name: max_entropy, model training run: 0, query number: 97, accuracy: 0.9211
INFO:root:Metric name: max_entropy, model training run: 0, query number: 98, accuracy: 0.9142
INFO:root:Metric name: max_entropy, model training run: 0, query number: 99, accuracy: 0.9179
INFO:root:Pool size x torch.Size([60000, 1, 28, 28])
INFO:root:Test size x torch.Size([60000])
INFO:root:Initial size x: 0
INFO:root:Metric name: max_entropy, model training run: 1, initial accuracy: 0.101
INFO:root:Metric name: max_entropy, model training run: 1, query number: 0, accuracy: 0.1916
INFO:root:Metric name: max_entropy, model training run: 1, query number: 1, accuracy: 0.1135
INFO:root:Metric name: max_entropy, model training run: 1, query number: 2, accuracy: 0.254
INFO:root:Metric name: max_entropy, model training run: 1, query number: 3, accuracy: 0.1997
INFO:root:Metric name: max_entropy, model training run: 1, query number: 4, accuracy: 0.1901
INFO:root:Metric name: max_entropy, model training run: 1, query number: 5, accuracy: 0.1942
INFO:root:Metric name: max_entropy, model training run: 1, query number: 6, accuracy: 0.2349
INFO:root:Metric name: max_entropy, model training run: 1, query number: 7, accuracy: 0.256
INFO:root:Metric name: max_entropy, model training run: 1, query number: 8, accuracy: 0.3323
INFO:root:Metric name: max_entropy, model training run: 1, query number: 9, accuracy: 0.3405
INFO:root:Metric name: max_entropy, model training run: 1, query number: 10, accuracy: 0.3617
INFO:root:Metric name: max_entropy, model training run: 1, query number: 11, accuracy: 0.3698
INFO:root:Metric name: max_entropy, model training run: 1, query number: 12, accuracy: 0.2788
INFO:root:Metric name: max_entropy, model training run: 1, query number: 13, accuracy: 0.3575
INFO:root:Metric name: max_entropy, model training run: 1, query number: 14, accuracy: 0.4349
INFO:root:Metric name: max_entropy, model training run: 1, query number: 15, accuracy: 0.4702
INFO:root:Metric name: max_entropy, model training run: 1, query number: 16, accuracy: 0.494
INFO:root:Metric name: max_entropy, model training run: 1, query number: 17, accuracy: 0.5339
INFO:root:Metric name: max_entropy, model training run: 1, query number: 18, accuracy: 0.523
INFO:root:Metric name: max_entropy, model training run: 1, query number: 19, accuracy: 0.5139
INFO:root:Metric name: max_entropy, model training run: 1, query number: 20, accuracy: 0.5323
INFO:root:Metric name: max_entropy, model training run: 1, query number: 21, accuracy: 0.4916
