INFO:root:Pool size x torch.Size([60000, 1, 28, 28])
INFO:root:Test size x torch.Size([60000])
INFO:root:Initial size x: 0
INFO:root:Metric name: max_variation, model training run: 0, initial accuracy: 0.1433
INFO:root:Metric name: max_variation, model training run: 0, query number: 0, accuracy: 0.1531
INFO:root:Metric name: max_variation, model training run: 0, query number: 1, accuracy: 0.2723
INFO:root:Metric name: max_variation, model training run: 0, query number: 2, accuracy: 0.3589
INFO:root:Metric name: max_variation, model training run: 0, query number: 3, accuracy: 0.2584
INFO:root:Metric name: max_variation, model training run: 0, query number: 4, accuracy: 0.274
INFO:root:Metric name: max_variation, model training run: 0, query number: 5, accuracy: 0.2518
INFO:root:Metric name: max_variation, model training run: 0, query number: 6, accuracy: 0.3287
INFO:root:Metric name: max_variation, model training run: 0, query number: 7, accuracy: 0.3612
INFO:root:Metric name: max_variation, model training run: 0, query number: 8, accuracy: 0.4
INFO:root:Metric name: max_variation, model training run: 0, query number: 9, accuracy: 0.4263
INFO:root:Metric name: max_variation, model training run: 0, query number: 10, accuracy: 0.4598
INFO:root:Metric name: max_variation, model training run: 0, query number: 11, accuracy: 0.4709
INFO:root:Metric name: max_variation, model training run: 0, query number: 12, accuracy: 0.3528
INFO:root:Metric name: max_variation, model training run: 0, query number: 13, accuracy: 0.435
INFO:root:Metric name: max_variation, model training run: 0, query number: 14, accuracy: 0.5613
INFO:root:Metric name: max_variation, model training run: 0, query number: 15, accuracy: 0.6064
INFO:root:Metric name: max_variation, model training run: 0, query number: 16, accuracy: 0.6079
INFO:root:Metric name: max_variation, model training run: 0, query number: 17, accuracy: 0.6014
INFO:root:Metric name: max_variation, model training run: 0, query number: 18, accuracy: 0.6256
INFO:root:Metric name: max_variation, model training run: 0, query number: 19, accuracy: 0.6631
INFO:root:Metric name: max_variation, model training run: 0, query number: 20, accuracy: 0.6342
INFO:root:Metric name: max_variation, model training run: 0, query number: 21, accuracy: 0.6747
INFO:root:Metric name: max_variation, model training run: 0, query number: 22, accuracy: 0.6757
INFO:root:Metric name: max_variation, model training run: 0, query number: 23, accuracy: 0.6508
INFO:root:Metric name: max_variation, model training run: 0, query number: 24, accuracy: 0.7165
INFO:root:Metric name: max_variation, model training run: 0, query number: 25, accuracy: 0.6742
INFO:root:Metric name: max_variation, model training run: 0, query number: 26, accuracy: 0.6282
INFO:root:Metric name: max_variation, model training run: 0, query number: 27, accuracy: 0.6104
INFO:root:Metric name: max_variation, model training run: 0, query number: 28, accuracy: 0.7178
INFO:root:Metric name: max_variation, model training run: 0, query number: 29, accuracy: 0.7562
INFO:root:Metric name: max_variation, model training run: 0, query number: 30, accuracy: 0.7296
INFO:root:Metric name: max_variation, model training run: 0, query number: 31, accuracy: 0.7238
INFO:root:Metric name: max_variation, model training run: 0, query number: 32, accuracy: 0.7229
INFO:root:Metric name: max_variation, model training run: 0, query number: 33, accuracy: 0.7617
INFO:root:Metric name: max_variation, model training run: 0, query number: 34, accuracy: 0.7593
INFO:root:Metric name: max_variation, model training run: 0, query number: 35, accuracy: 0.7344
INFO:root:Metric name: max_variation, model training run: 0, query number: 36, accuracy: 0.7605
INFO:root:Metric name: max_variation, model training run: 0, query number: 37, accuracy: 0.7701
INFO:root:Metric name: max_variation, model training run: 0, query number: 38, accuracy: 0.7471
INFO:root:Metric name: max_variation, model training run: 0, query number: 39, accuracy: 0.7787
INFO:root:Metric name: max_variation, model training run: 0, query number: 40, accuracy: 0.8211
INFO:root:Metric name: max_variation, model training run: 0, query number: 41, accuracy: 0.7929
INFO:root:Metric name: max_variation, model training run: 0, query number: 42, accuracy: 0.813
INFO:root:Metric name: max_variation, model training run: 0, query number: 43, accuracy: 0.802
INFO:root:Metric name: max_variation, model training run: 0, query number: 44, accuracy: 0.8338
INFO:root:Metric name: max_variation, model training run: 0, query number: 45, accuracy: 0.8129
INFO:root:Metric name: max_variation, model training run: 0, query number: 46, accuracy: 0.8368
INFO:root:Metric name: max_variation, model training run: 0, query number: 47, accuracy: 0.8576
INFO:root:Metric name: max_variation, model training run: 0, query number: 48, accuracy: 0.8225
INFO:root:Metric name: max_variation, model training run: 0, query number: 49, accuracy: 0.851
INFO:root:Metric name: max_variation, model training run: 0, query number: 50, accuracy: 0.8641
INFO:root:Metric name: max_variation, model training run: 0, query number: 51, accuracy: 0.8779
INFO:root:Metric name: max_variation, model training run: 0, query number: 52, accuracy: 0.8729
INFO:root:Metric name: max_variation, model training run: 0, query number: 53, accuracy: 0.8551
INFO:root:Metric name: max_variation, model training run: 0, query number: 54, accuracy: 0.886
INFO:root:Metric name: max_variation, model training run: 0, query number: 55, accuracy: 0.8957
INFO:root:Metric name: max_variation, model training run: 0, query number: 56, accuracy: 0.8753
INFO:root:Metric name: max_variation, model training run: 0, query number: 57, accuracy: 0.8702
INFO:root:Metric name: max_variation, model training run: 0, query number: 58, accuracy: 0.864
INFO:root:Metric name: max_variation, model training run: 0, query number: 59, accuracy: 0.8656
INFO:root:Metric name: max_variation, model training run: 0, query number: 60, accuracy: 0.9001
INFO:root:Metric name: max_variation, model training run: 0, query number: 61, accuracy: 0.8979
INFO:root:Metric name: max_variation, model training run: 0, query number: 62, accuracy: 0.8722
INFO:root:Metric name: max_variation, model training run: 0, query number: 63, accuracy: 0.8766
INFO:root:Metric name: max_variation, model training run: 0, query number: 64, accuracy: 0.8917
INFO:root:Metric name: max_variation, model training run: 0, query number: 65, accuracy: 0.9047
INFO:root:Metric name: max_variation, model training run: 0, query number: 66, accuracy: 0.9154
INFO:root:Metric name: max_variation, model training run: 0, query number: 67, accuracy: 0.9002
INFO:root:Metric name: max_variation, model training run: 0, query number: 68, accuracy: 0.9267
INFO:root:Metric name: max_variation, model training run: 0, query number: 69, accuracy: 0.9086
INFO:root:Metric name: max_variation, model training run: 0, query number: 70, accuracy: 0.9096
INFO:root:Metric name: max_variation, model training run: 0, query number: 71, accuracy: 0.9212
INFO:root:Metric name: max_variation, model training run: 0, query number: 72, accuracy: 0.9177
INFO:root:Metric name: max_variation, model training run: 0, query number: 73, accuracy: 0.9226
INFO:root:Metric name: max_variation, model training run: 0, query number: 74, accuracy: 0.904
INFO:root:Metric name: max_variation, model training run: 0, query number: 75, accuracy: 0.9047
INFO:root:Metric name: max_variation, model training run: 0, query number: 76, accuracy: 0.8767
INFO:root:Metric name: max_variation, model training run: 0, query number: 77, accuracy: 0.8984
INFO:root:Metric name: max_variation, model training run: 0, query number: 78, accuracy: 0.9014
INFO:root:Metric name: max_variation, model training run: 0, query number: 79, accuracy: 0.922
INFO:root:Metric name: max_variation, model training run: 0, query number: 80, accuracy: 0.9368
INFO:root:Metric name: max_variation, model training run: 0, query number: 81, accuracy: 0.9202
INFO:root:Metric name: max_variation, model training run: 0, query number: 82, accuracy: 0.939
INFO:root:Metric name: max_variation, model training run: 0, query number: 83, accuracy: 0.9341
INFO:root:Metric name: max_variation, model training run: 0, query number: 84, accuracy: 0.9336
INFO:root:Metric name: max_variation, model training run: 0, query number: 85, accuracy: 0.9274
INFO:root:Metric name: max_variation, model training run: 0, query number: 86, accuracy: 0.9353
INFO:root:Metric name: max_variation, model training run: 0, query number: 87, accuracy: 0.9263
INFO:root:Metric name: max_variation, model training run: 0, query number: 88, accuracy: 0.9436
INFO:root:Metric name: max_variation, model training run: 0, query number: 89, accuracy: 0.9093
INFO:root:Metric name: max_variation, model training run: 0, query number: 90, accuracy: 0.9206
INFO:root:Metric name: max_variation, model training run: 0, query number: 91, accuracy: 0.937
INFO:root:Metric name: max_variation, model training run: 0, query number: 92, accuracy: 0.9195
INFO:root:Metric name: max_variation, model training run: 0, query number: 93, accuracy: 0.9224
INFO:root:Metric name: max_variation, model training run: 0, query number: 94, accuracy: 0.9401
INFO:root:Metric name: max_variation, model training run: 0, query number: 95, accuracy: 0.9458
INFO:root:Metric name: max_variation, model training run: 0, query number: 96, accuracy: 0.9428
INFO:root:Metric name: max_variation, model training run: 0, query number: 97, accuracy: 0.9481
INFO:root:Metric name: max_variation, model training run: 0, query number: 98, accuracy: 0.9468
INFO:root:Metric name: max_variation, model training run: 0, query number: 99, accuracy: 0.9463
INFO:root:Pool size x torch.Size([60000, 1, 28, 28])
INFO:root:Test size x torch.Size([60000])
INFO:root:Initial size x: 0
INFO:root:Metric name: max_variation, model training run: 1, initial accuracy: 0.101
INFO:root:Metric name: max_variation, model training run: 1, query number: 0, accuracy: 0.179
INFO:root:Metric name: max_variation, model training run: 1, query number: 1, accuracy: 0.1539
INFO:root:Metric name: max_variation, model training run: 1, query number: 2, accuracy: 0.376
INFO:root:Metric name: max_variation, model training run: 1, query number: 3, accuracy: 0.4018
INFO:root:Metric name: max_variation, model training run: 1, query number: 4, accuracy: 0.3331
INFO:root:Metric name: max_variation, model training run: 1, query number: 5, accuracy: 0.4152
INFO:root:Metric name: max_variation, model training run: 1, query number: 6, accuracy: 0.4385
INFO:root:Metric name: max_variation, model training run: 1, query number: 7, accuracy: 0.4195
INFO:root:Metric name: max_variation, model training run: 1, query number: 8, accuracy: 0.4578
INFO:root:Metric name: max_variation, model training run: 1, query number: 9, accuracy: 0.4808
INFO:root:Metric name: max_variation, model training run: 1, query number: 10, accuracy: 0.5012
INFO:root:Metric name: max_variation, model training run: 1, query number: 11, accuracy: 0.5157
INFO:root:Metric name: max_variation, model training run: 1, query number: 12, accuracy: 0.5659
INFO:root:Metric name: max_variation, model training run: 1, query number: 13, accuracy: 0.4668
INFO:root:Metric name: max_variation, model training run: 1, query number: 14, accuracy: 0.6151
INFO:root:Metric name: max_variation, model training run: 1, query number: 15, accuracy: 0.615
INFO:root:Metric name: max_variation, model training run: 1, query number: 16, accuracy: 0.6204
INFO:root:Metric name: max_variation, model training run: 1, query number: 17, accuracy: 0.6738
INFO:root:Metric name: max_variation, model training run: 1, query number: 18, accuracy: 0.7235
INFO:root:Metric name: max_variation, model training run: 1, query number: 19, accuracy: 0.7335
INFO:root:Metric name: max_variation, model training run: 1, query number: 20, accuracy: 0.7838
INFO:root:Metric name: max_variation, model training run: 1, query number: 21, accuracy: 0.7551
INFO:root:Metric name: max_variation, model training run: 1, query number: 22, accuracy: 0.7763
INFO:root:Metric name: max_variation, model training run: 1, query number: 23, accuracy: 0.7706
INFO:root:Metric name: max_variation, model training run: 1, query number: 24, accuracy: 0.8045
