INFO:root:Pool size x torch.Size([60000, 1, 28, 28])
INFO:root:Test size x torch.Size([60000])
INFO:root:Initial size x: 0
INFO:root:Metric name: mean_std, model training run: 0, initial accuracy: 0.1433
INFO:root:Metric name: mean_std, model training run: 0, query number: 0, accuracy: 0.161
INFO:root:Metric name: mean_std, model training run: 0, query number: 1, accuracy: 0.2454
INFO:root:Metric name: mean_std, model training run: 0, query number: 2, accuracy: 0.2538
INFO:root:Metric name: mean_std, model training run: 0, query number: 3, accuracy: 0.2793
INFO:root:Metric name: mean_std, model training run: 0, query number: 4, accuracy: 0.2564
INFO:root:Metric name: mean_std, model training run: 0, query number: 5, accuracy: 0.303
INFO:root:Metric name: mean_std, model training run: 0, query number: 6, accuracy: 0.3221
INFO:root:Metric name: mean_std, model training run: 0, query number: 7, accuracy: 0.3419
INFO:root:Metric name: mean_std, model training run: 0, query number: 8, accuracy: 0.3379
INFO:root:Metric name: mean_std, model training run: 0, query number: 9, accuracy: 0.3189
INFO:root:Metric name: mean_std, model training run: 0, query number: 10, accuracy: 0.3516
INFO:root:Metric name: mean_std, model training run: 0, query number: 11, accuracy: 0.3854
INFO:root:Metric name: mean_std, model training run: 0, query number: 12, accuracy: 0.1884
INFO:root:Metric name: mean_std, model training run: 0, query number: 13, accuracy: 0.3944
INFO:root:Metric name: mean_std, model training run: 0, query number: 14, accuracy: 0.4355
INFO:root:Metric name: mean_std, model training run: 0, query number: 15, accuracy: 0.465
INFO:root:Metric name: mean_std, model training run: 0, query number: 16, accuracy: 0.4446
INFO:root:Metric name: mean_std, model training run: 0, query number: 17, accuracy: 0.4564
INFO:root:Metric name: mean_std, model training run: 0, query number: 18, accuracy: 0.4672
INFO:root:Metric name: mean_std, model training run: 0, query number: 19, accuracy: 0.4823
INFO:root:Metric name: mean_std, model training run: 0, query number: 20, accuracy: 0.4494
INFO:root:Metric name: mean_std, model training run: 0, query number: 21, accuracy: 0.4956
INFO:root:Metric name: mean_std, model training run: 0, query number: 22, accuracy: 0.4883
INFO:root:Metric name: mean_std, model training run: 0, query number: 23, accuracy: 0.4661
INFO:root:Metric name: mean_std, model training run: 0, query number: 24, accuracy: 0.4875
INFO:root:Metric name: mean_std, model training run: 0, query number: 25, accuracy: 0.516
INFO:root:Metric name: mean_std, model training run: 0, query number: 26, accuracy: 0.4597
INFO:root:Metric name: mean_std, model training run: 0, query number: 27, accuracy: 0.5221
INFO:root:Metric name: mean_std, model training run: 0, query number: 28, accuracy: 0.4973
INFO:root:Metric name: mean_std, model training run: 0, query number: 29, accuracy: 0.5344
INFO:root:Metric name: mean_std, model training run: 0, query number: 30, accuracy: 0.5107
INFO:root:Metric name: mean_std, model training run: 0, query number: 31, accuracy: 0.5172
INFO:root:Metric name: mean_std, model training run: 0, query number: 32, accuracy: 0.5616
INFO:root:Metric name: mean_std, model training run: 0, query number: 33, accuracy: 0.5784
INFO:root:Metric name: mean_std, model training run: 0, query number: 34, accuracy: 0.5901
INFO:root:Metric name: mean_std, model training run: 0, query number: 35, accuracy: 0.551
INFO:root:Metric name: mean_std, model training run: 0, query number: 36, accuracy: 0.5628
INFO:root:Metric name: mean_std, model training run: 0, query number: 37, accuracy: 0.5926
INFO:root:Metric name: mean_std, model training run: 0, query number: 38, accuracy: 0.5505
INFO:root:Metric name: mean_std, model training run: 0, query number: 39, accuracy: 0.5903
INFO:root:Metric name: mean_std, model training run: 0, query number: 40, accuracy: 0.6361
INFO:root:Metric name: mean_std, model training run: 0, query number: 41, accuracy: 0.6464
INFO:root:Metric name: mean_std, model training run: 0, query number: 42, accuracy: 0.601
INFO:root:Metric name: mean_std, model training run: 0, query number: 43, accuracy: 0.5757
INFO:root:Metric name: mean_std, model training run: 0, query number: 44, accuracy: 0.5933
INFO:root:Metric name: mean_std, model training run: 0, query number: 45, accuracy: 0.6183
INFO:root:Metric name: mean_std, model training run: 0, query number: 46, accuracy: 0.6373
INFO:root:Metric name: mean_std, model training run: 0, query number: 47, accuracy: 0.6913
INFO:root:Metric name: mean_std, model training run: 0, query number: 48, accuracy: 0.6354
INFO:root:Metric name: mean_std, model training run: 0, query number: 49, accuracy: 0.6688
INFO:root:Metric name: mean_std, model training run: 0, query number: 50, accuracy: 0.6885
INFO:root:Metric name: mean_std, model training run: 0, query number: 51, accuracy: 0.6664
INFO:root:Metric name: mean_std, model training run: 0, query number: 52, accuracy: 0.7006
INFO:root:Metric name: mean_std, model training run: 0, query number: 53, accuracy: 0.6913
INFO:root:Metric name: mean_std, model training run: 0, query number: 54, accuracy: 0.6859
INFO:root:Metric name: mean_std, model training run: 0, query number: 55, accuracy: 0.7105
INFO:root:Metric name: mean_std, model training run: 0, query number: 56, accuracy: 0.7131
INFO:root:Metric name: mean_std, model training run: 0, query number: 57, accuracy: 0.7145
INFO:root:Metric name: mean_std, model training run: 0, query number: 58, accuracy: 0.7008
INFO:root:Metric name: mean_std, model training run: 0, query number: 59, accuracy: 0.7025
INFO:root:Metric name: mean_std, model training run: 0, query number: 60, accuracy: 0.7042
INFO:root:Metric name: mean_std, model training run: 0, query number: 61, accuracy: 0.7055
INFO:root:Metric name: mean_std, model training run: 0, query number: 62, accuracy: 0.6999
INFO:root:Metric name: mean_std, model training run: 0, query number: 63, accuracy: 0.7097
INFO:root:Metric name: mean_std, model training run: 0, query number: 64, accuracy: 0.7089
INFO:root:Metric name: mean_std, model training run: 0, query number: 65, accuracy: 0.7331
INFO:root:Metric name: mean_std, model training run: 0, query number: 66, accuracy: 0.7423
INFO:root:Metric name: mean_std, model training run: 0, query number: 67, accuracy: 0.7302
INFO:root:Metric name: mean_std, model training run: 0, query number: 68, accuracy: 0.7354
INFO:root:Metric name: mean_std, model training run: 0, query number: 69, accuracy: 0.7498
INFO:root:Metric name: mean_std, model training run: 0, query number: 70, accuracy: 0.7107
INFO:root:Metric name: mean_std, model training run: 0, query number: 71, accuracy: 0.7418
INFO:root:Metric name: mean_std, model training run: 0, query number: 72, accuracy: 0.7488
INFO:root:Metric name: mean_std, model training run: 0, query number: 73, accuracy: 0.7522
INFO:root:Metric name: mean_std, model training run: 0, query number: 74, accuracy: 0.7563
INFO:root:Metric name: mean_std, model training run: 0, query number: 75, accuracy: 0.7487
INFO:root:Metric name: mean_std, model training run: 0, query number: 76, accuracy: 0.7397
INFO:root:Metric name: mean_std, model training run: 0, query number: 77, accuracy: 0.7663
INFO:root:Metric name: mean_std, model training run: 0, query number: 78, accuracy: 0.6968
INFO:root:Metric name: mean_std, model training run: 0, query number: 79, accuracy: 0.7604
INFO:root:Metric name: mean_std, model training run: 0, query number: 80, accuracy: 0.7902
INFO:root:Metric name: mean_std, model training run: 0, query number: 81, accuracy: 0.7553
INFO:root:Metric name: mean_std, model training run: 0, query number: 82, accuracy: 0.7946
INFO:root:Metric name: mean_std, model training run: 0, query number: 83, accuracy: 0.7696
INFO:root:Metric name: mean_std, model training run: 0, query number: 84, accuracy: 0.7331
INFO:root:Metric name: mean_std, model training run: 0, query number: 85, accuracy: 0.7561
INFO:root:Metric name: mean_std, model training run: 0, query number: 86, accuracy: 0.7828
INFO:root:Metric name: mean_std, model training run: 0, query number: 87, accuracy: 0.7578
INFO:root:Metric name: mean_std, model training run: 0, query number: 88, accuracy: 0.8037
INFO:root:Metric name: mean_std, model training run: 0, query number: 89, accuracy: 0.7756
INFO:root:Metric name: mean_std, model training run: 0, query number: 90, accuracy: 0.7675
INFO:root:Metric name: mean_std, model training run: 0, query number: 91, accuracy: 0.7973
INFO:root:Metric name: mean_std, model training run: 0, query number: 92, accuracy: 0.7626
INFO:root:Metric name: mean_std, model training run: 0, query number: 93, accuracy: 0.7779
INFO:root:Metric name: mean_std, model training run: 0, query number: 94, accuracy: 0.7689
INFO:root:Metric name: mean_std, model training run: 0, query number: 95, accuracy: 0.8152
INFO:root:Metric name: mean_std, model training run: 0, query number: 96, accuracy: 0.8066
INFO:root:Metric name: mean_std, model training run: 0, query number: 97, accuracy: 0.8061
INFO:root:Metric name: mean_std, model training run: 0, query number: 98, accuracy: 0.7941
INFO:root:Metric name: mean_std, model training run: 0, query number: 99, accuracy: 0.8212
INFO:root:Pool size x torch.Size([60000, 1, 28, 28])
INFO:root:Test size x torch.Size([60000])
INFO:root:Initial size x: 0
INFO:root:Metric name: mean_std, model training run: 1, initial accuracy: 0.101
INFO:root:Metric name: mean_std, model training run: 1, query number: 0, accuracy: 0.2474
INFO:root:Metric name: mean_std, model training run: 1, query number: 1, accuracy: 0.2389
INFO:root:Metric name: mean_std, model training run: 1, query number: 2, accuracy: 0.2764
INFO:root:Metric name: mean_std, model training run: 1, query number: 3, accuracy: 0.2678
INFO:root:Metric name: mean_std, model training run: 1, query number: 4, accuracy: 0.2711
INFO:root:Metric name: mean_std, model training run: 1, query number: 5, accuracy: 0.3389
INFO:root:Metric name: mean_std, model training run: 1, query number: 6, accuracy: 0.33
INFO:root:Metric name: mean_std, model training run: 1, query number: 7, accuracy: 0.3041
INFO:root:Metric name: mean_std, model training run: 1, query number: 8, accuracy: 0.3161
INFO:root:Metric name: mean_std, model training run: 1, query number: 9, accuracy: 0.3321
INFO:root:Metric name: mean_std, model training run: 1, query number: 10, accuracy: 0.323
INFO:root:Metric name: mean_std, model training run: 1, query number: 11, accuracy: 0.3458
INFO:root:Metric name: mean_std, model training run: 1, query number: 12, accuracy: 0.2623
INFO:root:Metric name: mean_std, model training run: 1, query number: 13, accuracy: 0.3559
INFO:root:Metric name: mean_std, model training run: 1, query number: 14, accuracy: 0.4281
INFO:root:Metric name: mean_std, model training run: 1, query number: 15, accuracy: 0.3696
INFO:root:Metric name: mean_std, model training run: 1, query number: 16, accuracy: 0.3798
INFO:root:Metric name: mean_std, model training run: 1, query number: 17, accuracy: 0.4322
INFO:root:Metric name: mean_std, model training run: 1, query number: 18, accuracy: 0.4184
INFO:root:Metric name: mean_std, model training run: 1, query number: 19, accuracy: 0.414
INFO:root:Metric name: mean_std, model training run: 1, query number: 20, accuracy: 0.4534
INFO:root:Metric name: mean_std, model training run: 1, query number: 21, accuracy: 0.4027
INFO:root:Metric name: mean_std, model training run: 1, query number: 22, accuracy: 0.4781
INFO:root:Metric name: mean_std, model training run: 1, query number: 23, accuracy: 0.4752
INFO:root:Metric name: mean_std, model training run: 1, query number: 24, accuracy: 0.502
