INFO:root:Pool size x torch.Size([60000, 1, 28, 28])
INFO:root:Test size x torch.Size([60000])
INFO:root:Initial size x: 0
INFO:root:Metric name: random, model training run: 0, initial accuracy: 0.1433
INFO:root:Metric name: random, model training run: 0, query number: 0, accuracy: 0.1737
INFO:root:Metric name: random, model training run: 0, query number: 1, accuracy: 0.2333
INFO:root:Metric name: random, model training run: 0, query number: 2, accuracy: 0.34
INFO:root:Metric name: random, model training run: 0, query number: 3, accuracy: 0.3101
INFO:root:Metric name: random, model training run: 0, query number: 4, accuracy: 0.4684
INFO:root:Metric name: random, model training run: 0, query number: 5, accuracy: 0.6266
INFO:root:Metric name: random, model training run: 0, query number: 6, accuracy: 0.589
INFO:root:Metric name: random, model training run: 0, query number: 7, accuracy: 0.6627
INFO:root:Metric name: random, model training run: 0, query number: 8, accuracy: 0.7121
INFO:root:Metric name: random, model training run: 0, query number: 9, accuracy: 0.691
INFO:root:Metric name: random, model training run: 0, query number: 10, accuracy: 0.6899
INFO:root:Metric name: random, model training run: 0, query number: 11, accuracy: 0.682
INFO:root:Metric name: random, model training run: 0, query number: 12, accuracy: 0.6872
INFO:root:Metric name: random, model training run: 0, query number: 13, accuracy: 0.6723
INFO:root:Metric name: random, model training run: 0, query number: 14, accuracy: 0.6961
INFO:root:Metric name: random, model training run: 0, query number: 15, accuracy: 0.7563
INFO:root:Metric name: random, model training run: 0, query number: 16, accuracy: 0.7546
INFO:root:Metric name: random, model training run: 0, query number: 17, accuracy: 0.7582
INFO:root:Metric name: random, model training run: 0, query number: 18, accuracy: 0.7833
INFO:root:Metric name: random, model training run: 0, query number: 19, accuracy: 0.7623
INFO:root:Metric name: random, model training run: 0, query number: 20, accuracy: 0.78
INFO:root:Metric name: random, model training run: 0, query number: 21, accuracy: 0.7944
INFO:root:Metric name: random, model training run: 0, query number: 22, accuracy: 0.7717
INFO:root:Metric name: random, model training run: 0, query number: 23, accuracy: 0.796
INFO:root:Metric name: random, model training run: 0, query number: 24, accuracy: 0.7867
INFO:root:Metric name: random, model training run: 0, query number: 25, accuracy: 0.7988
INFO:root:Metric name: random, model training run: 0, query number: 26, accuracy: 0.746
INFO:root:Metric name: random, model training run: 0, query number: 27, accuracy: 0.775
INFO:root:Metric name: random, model training run: 0, query number: 28, accuracy: 0.7746
INFO:root:Metric name: random, model training run: 0, query number: 29, accuracy: 0.8171
INFO:root:Metric name: random, model training run: 0, query number: 30, accuracy: 0.7911
INFO:root:Metric name: random, model training run: 0, query number: 31, accuracy: 0.7966
INFO:root:Metric name: random, model training run: 0, query number: 32, accuracy: 0.8203
INFO:root:Metric name: random, model training run: 0, query number: 33, accuracy: 0.8145
INFO:root:Metric name: random, model training run: 0, query number: 34, accuracy: 0.8207
INFO:root:Metric name: random, model training run: 0, query number: 35, accuracy: 0.8154
INFO:root:Metric name: random, model training run: 0, query number: 36, accuracy: 0.8356
INFO:root:Metric name: random, model training run: 0, query number: 37, accuracy: 0.8303
INFO:root:Metric name: random, model training run: 0, query number: 38, accuracy: 0.8096
INFO:root:Metric name: random, model training run: 0, query number: 39, accuracy: 0.8339
INFO:root:Metric name: random, model training run: 0, query number: 40, accuracy: 0.8461
INFO:root:Metric name: random, model training run: 0, query number: 41, accuracy: 0.8395
INFO:root:Metric name: random, model training run: 0, query number: 42, accuracy: 0.842
INFO:root:Metric name: random, model training run: 0, query number: 43, accuracy: 0.8325
INFO:root:Metric name: random, model training run: 0, query number: 44, accuracy: 0.8562
INFO:root:Metric name: random, model training run: 0, query number: 45, accuracy: 0.8404
INFO:root:Metric name: random, model training run: 0, query number: 46, accuracy: 0.8636
INFO:root:Metric name: random, model training run: 0, query number: 47, accuracy: 0.8665
INFO:root:Metric name: random, model training run: 0, query number: 48, accuracy: 0.8626
INFO:root:Metric name: random, model training run: 0, query number: 49, accuracy: 0.8682
INFO:root:Metric name: random, model training run: 0, query number: 50, accuracy: 0.8636
INFO:root:Metric name: random, model training run: 0, query number: 51, accuracy: 0.8532
INFO:root:Metric name: random, model training run: 0, query number: 52, accuracy: 0.8774
INFO:root:Metric name: random, model training run: 0, query number: 53, accuracy: 0.8735
INFO:root:Metric name: random, model training run: 0, query number: 54, accuracy: 0.866
INFO:root:Metric name: random, model training run: 0, query number: 55, accuracy: 0.8763
INFO:root:Metric name: random, model training run: 0, query number: 56, accuracy: 0.8875
INFO:root:Metric name: random, model training run: 0, query number: 57, accuracy: 0.881
INFO:root:Metric name: random, model training run: 0, query number: 58, accuracy: 0.8797
INFO:root:Metric name: random, model training run: 0, query number: 59, accuracy: 0.8656
INFO:root:Metric name: random, model training run: 0, query number: 60, accuracy: 0.8829
INFO:root:Metric name: random, model training run: 0, query number: 61, accuracy: 0.877
INFO:root:Metric name: random, model training run: 0, query number: 62, accuracy: 0.8822
INFO:root:Metric name: random, model training run: 0, query number: 63, accuracy: 0.8796
INFO:root:Metric name: random, model training run: 0, query number: 64, accuracy: 0.8682
INFO:root:Metric name: random, model training run: 0, query number: 65, accuracy: 0.8897
INFO:root:Metric name: random, model training run: 0, query number: 66, accuracy: 0.8911
INFO:root:Metric name: random, model training run: 0, query number: 67, accuracy: 0.8948
INFO:root:Metric name: random, model training run: 0, query number: 68, accuracy: 0.8959
INFO:root:Metric name: random, model training run: 0, query number: 69, accuracy: 0.898
INFO:root:Metric name: random, model training run: 0, query number: 70, accuracy: 0.8759
INFO:root:Metric name: random, model training run: 0, query number: 71, accuracy: 0.9042
INFO:root:Metric name: random, model training run: 0, query number: 72, accuracy: 0.8947
INFO:root:Metric name: random, model training run: 0, query number: 73, accuracy: 0.8982
INFO:root:Metric name: random, model training run: 0, query number: 74, accuracy: 0.905
INFO:root:Metric name: random, model training run: 0, query number: 75, accuracy: 0.8984
INFO:root:Metric name: random, model training run: 0, query number: 76, accuracy: 0.8852
INFO:root:Metric name: random, model training run: 0, query number: 77, accuracy: 0.8983
INFO:root:Metric name: random, model training run: 0, query number: 78, accuracy: 0.8945
INFO:root:Metric name: random, model training run: 0, query number: 79, accuracy: 0.899
INFO:root:Metric name: random, model training run: 0, query number: 80, accuracy: 0.9032
INFO:root:Metric name: random, model training run: 0, query number: 81, accuracy: 0.8935
INFO:root:Metric name: random, model training run: 0, query number: 82, accuracy: 0.9095
INFO:root:Metric name: random, model training run: 0, query number: 83, accuracy: 0.9043
INFO:root:Metric name: random, model training run: 0, query number: 84, accuracy: 0.9
INFO:root:Metric name: random, model training run: 0, query number: 85, accuracy: 0.8971
INFO:root:Metric name: random, model training run: 0, query number: 86, accuracy: 0.9018
INFO:root:Metric name: random, model training run: 0, query number: 87, accuracy: 0.8927
INFO:root:Metric name: random, model training run: 0, query number: 88, accuracy: 0.9078
INFO:root:Metric name: random, model training run: 0, query number: 89, accuracy: 0.9005
INFO:root:Metric name: random, model training run: 0, query number: 90, accuracy: 0.8994
INFO:root:Metric name: random, model training run: 0, query number: 91, accuracy: 0.9038
INFO:root:Metric name: random, model training run: 0, query number: 92, accuracy: 0.9027
INFO:root:Metric name: random, model training run: 0, query number: 93, accuracy: 0.9058
INFO:root:Metric name: random, model training run: 0, query number: 94, accuracy: 0.9093
INFO:root:Metric name: random, model training run: 0, query number: 95, accuracy: 0.9148
INFO:root:Metric name: random, model training run: 0, query number: 96, accuracy: 0.9127
INFO:root:Metric name: random, model training run: 0, query number: 97, accuracy: 0.914
INFO:root:Metric name: random, model training run: 0, query number: 98, accuracy: 0.9094
INFO:root:Metric name: random, model training run: 0, query number: 99, accuracy: 0.9169
INFO:root:Pool size x torch.Size([60000, 1, 28, 28])
INFO:root:Test size x torch.Size([60000])
INFO:root:Initial size x: 0
INFO:root:Metric name: random, model training run: 1, initial accuracy: 0.101
INFO:root:Metric name: random, model training run: 1, query number: 0, accuracy: 0.2606
INFO:root:Metric name: random, model training run: 1, query number: 1, accuracy: 0.3549
INFO:root:Metric name: random, model training run: 1, query number: 2, accuracy: 0.5021
INFO:root:Metric name: random, model training run: 1, query number: 3, accuracy: 0.5181
INFO:root:Metric name: random, model training run: 1, query number: 4, accuracy: 0.4705
INFO:root:Metric name: random, model training run: 1, query number: 5, accuracy: 0.5027
INFO:root:Metric name: random, model training run: 1, query number: 6, accuracy: 0.6294
INFO:root:Metric name: random, model training run: 1, query number: 7, accuracy: 0.5827
INFO:root:Metric name: random, model training run: 1, query number: 8, accuracy: 0.6096
INFO:root:Metric name: random, model training run: 1, query number: 9, accuracy: 0.6229
INFO:root:Metric name: random, model training run: 1, query number: 10, accuracy: 0.6809
INFO:root:Metric name: random, model training run: 1, query number: 11, accuracy: 0.5966
INFO:root:Metric name: random, model training run: 1, query number: 12, accuracy: 0.6966
INFO:root:Metric name: random, model training run: 1, query number: 13, accuracy: 0.6693
INFO:root:Metric name: random, model training run: 1, query number: 14, accuracy: 0.6976
INFO:root:Metric name: random, model training run: 1, query number: 15, accuracy: 0.7411
INFO:root:Metric name: random, model training run: 1, query number: 16, accuracy: 0.7198
INFO:root:Metric name: random, model training run: 1, query number: 17, accuracy: 0.7537
INFO:root:Metric name: random, model training run: 1, query number: 18, accuracy: 0.7667
INFO:root:Metric name: random, model training run: 1, query number: 19, accuracy: 0.7894
INFO:root:Metric name: random, model training run: 1, query number: 20, accuracy: 0.7816
INFO:root:Metric name: random, model training run: 1, query number: 21, accuracy: 0.7688
INFO:root:Metric name: random, model training run: 1, query number: 22, accuracy: 0.7979
INFO:root:Metric name: random, model training run: 1, query number: 23, accuracy: 0.8024
INFO:root:Metric name: random, model training run: 1, query number: 24, accuracy: 0.8235
INFO:root:Metric name: random, model training run: 1, query number: 25, accuracy: 0.7791
INFO:root:Metric name: random, model training run: 1, query number: 26, accuracy: 0.8019
INFO:root:Metric name: random, model training run: 1, query number: 27, accuracy: 0.8399
INFO:root:Metric name: random, model training run: 1, query number: 28, accuracy: 0.8319
INFO:root:Metric name: random, model training run: 1, query number: 29, accuracy: 0.8281
INFO:root:Metric name: random, model training run: 1, query number: 30, accuracy: 0.8455
INFO:root:Metric name: random, model training run: 1, query number: 31, accuracy: 0.838
INFO:root:Metric name: random, model training run: 1, query number: 32, accuracy: 0.8595
INFO:root:Metric name: random, model training run: 1, query number: 33, accuracy: 0.8488
INFO:root:Metric name: random, model training run: 1, query number: 34, accuracy: 0.8498
INFO:root:Metric name: random, model training run: 1, query number: 35, accuracy: 0.8635
