INFO:root:Pool size x torch.Size([59750, 1, 28, 28])
INFO:root:Test size x torch.Size([59750])
INFO:root:Initial size x torch.Size([250, 1, 28, 28])
INFO:root:Metric name: max_entropy, model training run: 0, initial accuracy: 0.7986
INFO:root:Metric name: max_entropy, model training run: 0, query number: 0, accuracy: 0.7884
INFO:root:Metric name: max_entropy, model training run: 0, query number: 1, accuracy: 0.7896
INFO:root:Metric name: max_entropy, model training run: 0, query number: 2, accuracy: 0.8387
INFO:root:Metric name: max_entropy, model training run: 0, query number: 3, accuracy: 0.8355
INFO:root:Metric name: max_entropy, model training run: 0, query number: 4, accuracy: 0.8407
INFO:root:Metric name: max_entropy, model training run: 0, query number: 5, accuracy: 0.8004
INFO:root:Metric name: max_entropy, model training run: 0, query number: 6, accuracy: 0.8174
INFO:root:Metric name: max_entropy, model training run: 0, query number: 7, accuracy: 0.8362
INFO:root:Metric name: max_entropy, model training run: 0, query number: 8, accuracy: 0.8333
INFO:root:Metric name: max_entropy, model training run: 0, query number: 9, accuracy: 0.855
INFO:root:Metric name: max_entropy, model training run: 0, query number: 10, accuracy: 0.8478
INFO:root:Metric name: max_entropy, model training run: 0, query number: 11, accuracy: 0.8372
INFO:root:Metric name: max_entropy, model training run: 0, query number: 12, accuracy: 0.8402
INFO:root:Metric name: max_entropy, model training run: 0, query number: 13, accuracy: 0.8528
INFO:root:Metric name: max_entropy, model training run: 0, query number: 14, accuracy: 0.8573
INFO:root:Metric name: max_entropy, model training run: 0, query number: 15, accuracy: 0.8638
INFO:root:Metric name: max_entropy, model training run: 0, query number: 16, accuracy: 0.8593
INFO:root:Metric name: max_entropy, model training run: 0, query number: 17, accuracy: 0.838
INFO:root:Metric name: max_entropy, model training run: 0, query number: 18, accuracy: 0.8701
INFO:root:Metric name: max_entropy, model training run: 0, query number: 19, accuracy: 0.8756
INFO:root:Metric name: max_entropy, model training run: 0, query number: 20, accuracy: 0.8751
INFO:root:Metric name: max_entropy, model training run: 0, query number: 21, accuracy: 0.8756
INFO:root:Metric name: max_entropy, model training run: 0, query number: 22, accuracy: 0.8802
INFO:root:Metric name: max_entropy, model training run: 0, query number: 23, accuracy: 0.8626
INFO:root:Metric name: max_entropy, model training run: 0, query number: 24, accuracy: 0.8802
INFO:root:Metric name: max_entropy, model training run: 0, query number: 25, accuracy: 0.8819
