INFO:root:Pool size x torch.Size([59750, 1, 28, 28])
INFO:root:Test size x torch.Size([59750])
INFO:root:Initial size x torch.Size([250, 1, 28, 28])
INFO:root:Metric name: mean_std, model training run: 0, initial accuracy: 0.7986
INFO:root:Metric name: mean_std, model training run: 0, query number: 0, accuracy: 0.7502
INFO:root:Metric name: mean_std, model training run: 0, query number: 1, accuracy: 0.7896
INFO:root:Metric name: mean_std, model training run: 0, query number: 2, accuracy: 0.8074
INFO:root:Metric name: mean_std, model training run: 0, query number: 3, accuracy: 0.8152
INFO:root:Metric name: mean_std, model training run: 0, query number: 4, accuracy: 0.7986
INFO:root:Metric name: mean_std, model training run: 0, query number: 5, accuracy: 0.8049
INFO:root:Metric name: mean_std, model training run: 0, query number: 6, accuracy: 0.8192
INFO:root:Metric name: mean_std, model training run: 0, query number: 7, accuracy: 0.8288
INFO:root:Metric name: mean_std, model training run: 0, query number: 8, accuracy: 0.8318
INFO:root:Metric name: mean_std, model training run: 0, query number: 9, accuracy: 0.8189
INFO:root:Metric name: mean_std, model training run: 0, query number: 10, accuracy: 0.8367
INFO:root:Metric name: mean_std, model training run: 0, query number: 11, accuracy: 0.8282
INFO:root:Metric name: mean_std, model training run: 0, query number: 12, accuracy: 0.8264
INFO:root:Metric name: mean_std, model training run: 0, query number: 13, accuracy: 0.82
INFO:root:Metric name: mean_std, model training run: 0, query number: 14, accuracy: 0.8156
INFO:root:Metric name: mean_std, model training run: 0, query number: 15, accuracy: 0.8493
INFO:root:Metric name: mean_std, model training run: 0, query number: 16, accuracy: 0.8438
INFO:root:Metric name: mean_std, model training run: 0, query number: 17, accuracy: 0.8399
INFO:root:Metric name: mean_std, model training run: 0, query number: 18, accuracy: 0.8589
INFO:root:Metric name: mean_std, model training run: 0, query number: 19, accuracy: 0.8626
INFO:root:Metric name: mean_std, model training run: 0, query number: 20, accuracy: 0.8503
INFO:root:Metric name: mean_std, model training run: 0, query number: 21, accuracy: 0.8494
INFO:root:Metric name: mean_std, model training run: 0, query number: 22, accuracy: 0.8617
INFO:root:Metric name: mean_std, model training run: 0, query number: 23, accuracy: 0.8559
INFO:root:Metric name: mean_std, model training run: 0, query number: 24, accuracy: 0.8734
INFO:root:Metric name: mean_std, model training run: 0, query number: 25, accuracy: 0.8659
