INFO:root:Pool size x torch.Size([59750, 1, 28, 28])
INFO:root:Test size x torch.Size([59750])
INFO:root:Initial size x torch.Size([250, 1, 28, 28])
INFO:root:Metric name: max_entropy, model training run: 0, initial accuracy: 0.824
INFO:root:Metric name: max_entropy, model training run: 0, query number: 0, accuracy: 0.7909
INFO:root:Metric name: max_entropy, model training run: 0, query number: 1, accuracy: 0.7877
INFO:root:Metric name: max_entropy, model training run: 0, query number: 2, accuracy: 0.8041
INFO:root:Metric name: max_entropy, model training run: 0, query number: 3, accuracy: 0.8267
INFO:root:Metric name: max_entropy, model training run: 0, query number: 4, accuracy: 0.8215
INFO:root:Metric name: max_entropy, model training run: 0, query number: 5, accuracy: 0.8427
INFO:root:Metric name: max_entropy, model training run: 0, query number: 6, accuracy: 0.8313
INFO:root:Metric name: max_entropy, model training run: 0, query number: 7, accuracy: 0.8515
INFO:root:Metric name: max_entropy, model training run: 0, query number: 8, accuracy: 0.8453
INFO:root:Metric name: max_entropy, model training run: 0, query number: 9, accuracy: 0.8608
INFO:root:Metric name: max_entropy, model training run: 0, query number: 10, accuracy: 0.8412
INFO:root:Metric name: max_entropy, model training run: 0, query number: 11, accuracy: 0.8615
INFO:root:Metric name: max_entropy, model training run: 0, query number: 12, accuracy: 0.857
INFO:root:Metric name: max_entropy, model training run: 0, query number: 13, accuracy: 0.8475
INFO:root:Metric name: max_entropy, model training run: 0, query number: 14, accuracy: 0.8487
INFO:root:Metric name: max_entropy, model training run: 0, query number: 15, accuracy: 0.8314
INFO:root:Metric name: max_entropy, model training run: 0, query number: 16, accuracy: 0.8514
INFO:root:Metric name: max_entropy, model training run: 0, query number: 17, accuracy: 0.8461
INFO:root:Metric name: max_entropy, model training run: 0, query number: 18, accuracy: 0.8639
INFO:root:Metric name: max_entropy, model training run: 0, query number: 19, accuracy: 0.8704
INFO:root:Metric name: max_entropy, model training run: 0, query number: 20, accuracy: 0.8644
INFO:root:Metric name: max_entropy, model training run: 0, query number: 21, accuracy: 0.8677
INFO:root:Metric name: max_entropy, model training run: 0, query number: 22, accuracy: 0.8635
INFO:root:Metric name: max_entropy, model training run: 0, query number: 23, accuracy: 0.8779
INFO:root:Metric name: max_entropy, model training run: 0, query number: 24, accuracy: 0.8696
INFO:root:Metric name: max_entropy, model training run: 0, query number: 25, accuracy: 0.8801
