INFO:root:Pool size x torch.Size([59750, 1, 28, 28])
INFO:root:Test size x torch.Size([59750])
INFO:root:Initial size x torch.Size([250, 1, 28, 28])
INFO:root:Metric name: max_variation, model training run: 0, initial accuracy: 0.7986
INFO:root:Metric name: max_variation, model training run: 0, query number: 0, accuracy: 0.7716
INFO:root:Metric name: max_variation, model training run: 0, query number: 1, accuracy: 0.8246
INFO:root:Metric name: max_variation, model training run: 0, query number: 2, accuracy: 0.8408
INFO:root:Metric name: max_variation, model training run: 0, query number: 3, accuracy: 0.8418
INFO:root:Metric name: max_variation, model training run: 0, query number: 4, accuracy: 0.8514
INFO:root:Metric name: max_variation, model training run: 0, query number: 5, accuracy: 0.8347
INFO:root:Metric name: max_variation, model training run: 0, query number: 6, accuracy: 0.844
INFO:root:Metric name: max_variation, model training run: 0, query number: 7, accuracy: 0.8439
INFO:root:Metric name: max_variation, model training run: 0, query number: 8, accuracy: 0.8567
INFO:root:Metric name: max_variation, model training run: 0, query number: 9, accuracy: 0.866
INFO:root:Metric name: max_variation, model training run: 0, query number: 10, accuracy: 0.8465
INFO:root:Metric name: max_variation, model training run: 0, query number: 11, accuracy: 0.8497
INFO:root:Metric name: max_variation, model training run: 0, query number: 12, accuracy: 0.8487
INFO:root:Metric name: max_variation, model training run: 0, query number: 13, accuracy: 0.8515
INFO:root:Metric name: max_variation, model training run: 0, query number: 14, accuracy: 0.857
INFO:root:Metric name: max_variation, model training run: 0, query number: 15, accuracy: 0.8616
INFO:root:Metric name: max_variation, model training run: 0, query number: 16, accuracy: 0.8597
INFO:root:Metric name: max_variation, model training run: 0, query number: 17, accuracy: 0.8635
INFO:root:Metric name: max_variation, model training run: 0, query number: 18, accuracy: 0.8893
INFO:root:Metric name: max_variation, model training run: 0, query number: 19, accuracy: 0.8913
INFO:root:Metric name: max_variation, model training run: 0, query number: 20, accuracy: 0.8939
INFO:root:Metric name: max_variation, model training run: 0, query number: 21, accuracy: 0.87
INFO:root:Metric name: max_variation, model training run: 0, query number: 22, accuracy: 0.8909
INFO:root:Metric name: max_variation, model training run: 0, query number: 23, accuracy: 0.881
INFO:root:Metric name: max_variation, model training run: 0, query number: 24, accuracy: 0.8918
INFO:root:Metric name: max_variation, model training run: 0, query number: 25, accuracy: 0.882
