INFO:root:Pool size x torch.Size([59750, 1, 28, 28])
INFO:root:Test size x torch.Size([59750])
INFO:root:Initial size x torch.Size([250, 1, 28, 28])
INFO:root:Metric name: mean_std, model training run: 0, initial accuracy: 0.824
INFO:root:Metric name: mean_std, model training run: 0, query number: 0, accuracy: 0.7783
INFO:root:Metric name: mean_std, model training run: 0, query number: 1, accuracy: 0.761
INFO:root:Metric name: mean_std, model training run: 0, query number: 2, accuracy: 0.8184
INFO:root:Metric name: mean_std, model training run: 0, query number: 3, accuracy: 0.825
INFO:root:Metric name: mean_std, model training run: 0, query number: 4, accuracy: 0.825
INFO:root:Metric name: mean_std, model training run: 0, query number: 5, accuracy: 0.8383
INFO:root:Metric name: mean_std, model training run: 0, query number: 6, accuracy: 0.8157
INFO:root:Metric name: mean_std, model training run: 0, query number: 7, accuracy: 0.8399
INFO:root:Metric name: mean_std, model training run: 0, query number: 8, accuracy: 0.8505
INFO:root:Metric name: mean_std, model training run: 0, query number: 9, accuracy: 0.8622
INFO:root:Metric name: mean_std, model training run: 0, query number: 10, accuracy: 0.8525
INFO:root:Metric name: mean_std, model training run: 0, query number: 11, accuracy: 0.8712
INFO:root:Metric name: mean_std, model training run: 0, query number: 12, accuracy: 0.8544
INFO:root:Metric name: mean_std, model training run: 0, query number: 13, accuracy: 0.848
INFO:root:Metric name: mean_std, model training run: 0, query number: 14, accuracy: 0.8281
INFO:root:Metric name: mean_std, model training run: 0, query number: 15, accuracy: 0.8541
INFO:root:Metric name: mean_std, model training run: 0, query number: 16, accuracy: 0.8326
INFO:root:Metric name: mean_std, model training run: 0, query number: 17, accuracy: 0.8601
INFO:root:Metric name: mean_std, model training run: 0, query number: 18, accuracy: 0.8704
INFO:root:Metric name: mean_std, model training run: 0, query number: 19, accuracy: 0.893
INFO:root:Metric name: mean_std, model training run: 0, query number: 20, accuracy: 0.8863
INFO:root:Metric name: mean_std, model training run: 0, query number: 21, accuracy: 0.8722
INFO:root:Metric name: mean_std, model training run: 0, query number: 22, accuracy: 0.8705
INFO:root:Metric name: mean_std, model training run: 0, query number: 23, accuracy: 0.8766
INFO:root:Metric name: mean_std, model training run: 0, query number: 24, accuracy: 0.8607
INFO:root:Metric name: mean_std, model training run: 0, query number: 25, accuracy: 0.8874
