INFO:root:Pool size x torch.Size([59750, 1, 28, 28])
INFO:root:Test size x torch.Size([59750])
INFO:root:Initial size x torch.Size([250, 1, 28, 28])
INFO:root:Metric name: random, model training run: 0, initial accuracy: 0.7986
INFO:root:Metric name: random, model training run: 0, query number: 0, accuracy: 0.7821
INFO:root:Metric name: random, model training run: 0, query number: 1, accuracy: 0.8076
INFO:root:Metric name: random, model training run: 0, query number: 2, accuracy: 0.8211
INFO:root:Metric name: random, model training run: 0, query number: 3, accuracy: 0.8416
INFO:root:Metric name: random, model training run: 0, query number: 4, accuracy: 0.833
INFO:root:Metric name: random, model training run: 0, query number: 5, accuracy: 0.8256
INFO:root:Metric name: random, model training run: 0, query number: 6, accuracy: 0.8508
INFO:root:Metric name: random, model training run: 0, query number: 7, accuracy: 0.8468
INFO:root:Metric name: random, model training run: 0, query number: 8, accuracy: 0.8492
INFO:root:Metric name: random, model training run: 0, query number: 9, accuracy: 0.8543
INFO:root:Metric name: random, model training run: 0, query number: 10, accuracy: 0.8488
INFO:root:Metric name: random, model training run: 0, query number: 11, accuracy: 0.8567
INFO:root:Metric name: random, model training run: 0, query number: 12, accuracy: 0.8493
INFO:root:Metric name: random, model training run: 0, query number: 13, accuracy: 0.8658
INFO:root:Metric name: random, model training run: 0, query number: 14, accuracy: 0.8581
INFO:root:Metric name: random, model training run: 0, query number: 15, accuracy: 0.8684
INFO:root:Metric name: random, model training run: 0, query number: 16, accuracy: 0.8694
INFO:root:Metric name: random, model training run: 0, query number: 17, accuracy: 0.8712
INFO:root:Metric name: random, model training run: 0, query number: 18, accuracy: 0.8762
INFO:root:Metric name: random, model training run: 0, query number: 19, accuracy: 0.8764
INFO:root:Metric name: random, model training run: 0, query number: 20, accuracy: 0.888
INFO:root:Metric name: random, model training run: 0, query number: 21, accuracy: 0.8752
INFO:root:Metric name: random, model training run: 0, query number: 22, accuracy: 0.8853
INFO:root:Metric name: random, model training run: 0, query number: 23, accuracy: 0.868
INFO:root:Metric name: random, model training run: 0, query number: 24, accuracy: 0.8878
INFO:root:Metric name: random, model training run: 0, query number: 25, accuracy: 0.887
INFO:root:Metric name: random, model training run: 0, query number: 26, accuracy: 0.8695
INFO:root:Metric name: random, model training run: 0, query number: 27, accuracy: 0.8786
